"","id","days","last_scraped","host_since","room_type","bathrooms","bedrooms","price","number_of_reviews","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable"
"26",8025,2843,"4/2/2017","6/20/2009","Private room",1,1,110,23,9,10,9,"f"
"27",8110,2843,"4/2/2017","6/20/2009","Private room",1,1,118,42,8,10,9,"f"
"28",8225,3130,"4/2/2017","9/6/2008","Private room",1,1,49,114,9,9,9,"f"
"29",8270,2833,"4/2/2017","6/30/2009","Entire home/apt",1,1,225,16,10,9,9,"f"
"30",8343,2831,"4/2/2017","7/2/2009","Entire home/apt",1.5,3,375,10,10,10,10,"f"
"31",8371,2829,"4/2/2017","7/4/2009","Private room",1,1,90,1,10,10,10,"t"
"32",8477,2823,"4/2/2017","7/10/2009","Entire home/apt",1,1,175,20,9,9,10,"f"
"33",8490,2823,"4/2/2017","7/10/2009","Entire home/apt",1,1,150,41,9,8,9,"f"
"34",9357,2796,"4/2/2017","8/6/2009","Entire home/apt",1,NA,150,53,8,10,9,"f"
"35",9518,2790,"4/2/2017","8/12/2009","Private room",1,1,40,64,8,8,8,"f"
"36",9657,2847,"4/2/2017","6/16/2009","Entire home/apt",1,1,180,18,9,10,8,"f"
"37",9668,2785,"4/3/2017","8/18/2009","Private room",1,1,50,202,8,9,9,"t"
"38",9704,2786,"4/2/2017","8/16/2009","Private room",1.5,1,55,43,10,10,10,"f"
"39",9783,2784,"4/2/2017","8/18/2009","Private room",NA,1,50,221,8,9,9,"t"
"40",10423,2768,"4/2/2017","9/3/2009","Entire home/apt",1,1,131,94,8,9,8,"t"
"41",10452,2768,"4/2/2017","9/3/2009","Private room",NA,1,60,65,9,9,9,"f"
"42",10962,2945,"4/2/2017","3/10/2009","Private room",1,1,80,128,9,10,10,"f"
"43",11174,2747,"4/2/2017","9/24/2009","Private room",1,1,69,52,10,10,9,"f"
"44",11708,2734,"4/2/2017","10/7/2009","Entire home/apt",1,1,85,128,9,9,9,"f"
"45",11900,2730,"4/2/2017","10/11/2009","Entire home/apt",1,2,120,126,9,8,9,"f"
"46",11943,2729,"4/2/2017","10/12/2009","Private room",1,1,150,0,NA,NA,NA,"f"
"47",12048,2976,"4/2/2017","2/7/2009","Shared room",1,1,45,167,9,9,10,"f"
"48",12192,2722,"4/2/2017","10/19/2009","Private room",1,1,70,199,8,9,9,"f"
"49",12299,2719,"4/2/2017","10/22/2009","Entire home/apt",1,1,120,3,10,10,10,"f"
"50",12303,2719,"4/2/2017","10/22/2009","Private room",2,1,120,24,10,9,10,"f"
"51",12318,2882,"4/2/2017","5/12/2009","Private room",2,1,135,62,9,10,9,"f"
"52",12382,2715,"4/2/2017","10/26/2009","Entire home/apt",1,2,108,174,9,8,9,"f"
"53",12579,2712,"4/2/2017","10/29/2009","Entire home/apt",2.5,3,375,15,10,10,10,"f"
"54",12596,2667,"4/2/2017","12/13/2009","Entire home/apt",1,2,150,79,8,9,8,"f"
"55",12937,2710,"4/2/2017","10/31/2009","Private room",1,1,130,150,10,10,10,"f"
"56",12940,2710,"4/2/2017","10/31/2009","Entire home/apt",1,2,150,42,8,7,8,"f"
"57",13050,2708,"4/2/2017","11/2/2009","Entire home/apt",1,2,115,11,9,9,9,"f"
"58",13076,2708,"4/2/2017","11/2/2009","Private room",1,1,73,8,9,8,9,"f"
"59",13121,2806,"4/2/2017","7/27/2009","Private room",1,1,68,60,9,7,8,"f"
"60",13362,2704,"4/2/2017","11/6/2009","Entire home/apt",1,1,113,60,9,10,9,"f"
"61",13380,2703,"4/2/2017","11/7/2009","Entire home/apt",1,1,100,5,10,10,10,"f"
"62",13394,2702,"4/2/2017","11/8/2009","Private room",1,1,80,106,9,10,9,"f"
"63",13414,2702,"4/2/2017","11/8/2009","Private room",1,1,9998,43,8,10,10,"f"
"64",13488,2701,"4/2/2017","11/9/2009","Entire home/apt",1,1,220,91,9,10,9,"f"
"65",13552,2974,"4/2/2017","2/9/2009","Entire home/apt",1,0,120,113,9,10,9,"f"
"66",13808,2696,"4/2/2017","11/14/2009","Private room",1,1,80,72,9,8,9,"f"
"67",13974,2745,"4/2/2017","9/26/2009","Entire home/apt",1,2,200,51,9,10,9,"f"
"68",14287,2690,"4/2/2017","11/20/2009","Entire home/apt",NA,1,120,23,9,10,9,"f"
"69",14290,2691,"4/3/2017","11/20/2009","Entire home/apt",1,2,199,44,9,9,9,"f"
"70",14314,2690,"4/3/2017","11/21/2009","Entire home/apt",1,1,144,73,10,9,9,"f"
"71",14322,2689,"4/2/2017","11/21/2009","Entire home/apt",1,1,200,7,8,10,8,"f"
"72",14374,3147,"4/2/2017","8/20/2008","Entire home/apt",1,2,150,147,9,9,9,"t"
"73",14377,2688,"4/2/2017","11/22/2009","Entire home/apt",1,1,140,74,10,9,9,"f"
"74",14434,2980,"4/2/2017","2/3/2009","Private room",NA,1,60,57,8,8,9,"f"
"75",14435,2687,"4/2/2017","11/23/2009","Private room",1,1,75,22,8,9,9,"f"
"76",14468,2688,"4/3/2017","11/23/2009","Private room",1,1,150,0,NA,NA,NA,"t"
"77",14694,2692,"4/2/2017","11/18/2009","Private room",2,1,145,6,9,9,9,"f"
"78",14699,2692,"4/2/2017","11/18/2009","Entire home/apt",2,3,350,3,9,10,9,"f"
"79",14708,2692,"4/2/2017","11/18/2009","Private room",2,1,135,7,10,10,9,"f"
"80",14991,2679,"4/2/2017","12/1/2009","Private room",1,1,90,14,10,10,10,"f"
"81",15110,3092,"4/2/2017","10/14/2008","Entire home/apt",1,2,89,4,9,8,8,"f"
"82",15220,2677,"4/2/2017","12/3/2009","Private room",0.5,1,69,167,10,10,9,"f"
"83",15230,2677,"4/2/2017","12/3/2009","Entire home/apt",1,2,185,9,9,8,8,"f"
"84",15239,2887,"4/2/2017","5/7/2009","Entire home/apt",2,1,325,2,8,6,6,"f"
"85",15345,2676,"4/2/2017","12/4/2009","Private room",1,1,85,98,9,8,9,"f"
"86",15385,2675,"4/2/2017","12/5/2009","Private room",1,1,80,20,9,10,9,"f"
"87",15491,2677,"4/2/2017","12/3/2009","Private room",1,1,69,5,10,10,10,"f"
"88",15493,2677,"4/2/2017","12/3/2009","Private room",0,1,59,24,9,8,8,"f"
"89",15509,2677,"4/2/2017","12/3/2009","Private room",NA,1,59,14,9,9,9,"f"
"90",15711,2671,"4/2/2017","12/9/2009","Entire home/apt",1,2,280,42,8,9,9,"f"
"91",15729,2672,"4/3/2017","12/9/2009","Private room",NA,1,89,21,7,8,7,"f"
"92",15944,2669,"4/2/2017","12/11/2009","Entire home/apt",1,2,135,58,9,10,10,"f"
"93",15962,2668,"4/2/2017","12/12/2009","Entire home/apt",1,1,130,58,7,10,9,"f"
"94",16056,2668,"4/3/2017","12/13/2009","Private room",1,1,73,13,10,10,10,"f"
"95",16076,2949,"4/2/2017","3/6/2009","Entire home/apt",1,NA,94,34,10,10,10,"f"
"96",16089,2131,"4/2/2017","6/2/2011","Entire home/apt",1,1,185,119,9,9,9,"f"
"97",16326,2664,"4/2/2017","12/16/2009","Entire home/apt",2,4,345,105,10,10,10,"f"
"98",16338,2664,"4/2/2017","12/16/2009","Private room",1,1,50,25,9,9,9,"f"
"99",16422,2663,"4/2/2017","12/17/2009","Private room",1,1,85,32,10,9,9,"f"
"100",16580,2662,"4/3/2017","12/19/2009","Private room",1,1,80,167,9,9,9,"t"
"101",16595,2660,"4/2/2017","12/20/2009","Entire home/apt",1,1,115,94,9,9,9,"f"
"102",16737,2658,"4/2/2017","12/22/2009","Private room",1,1,120,267,9,9,9,"f"
"103",16821,3056,"4/2/2017","11/19/2008","Private room",1,1,79,51,8,10,9,"f"
"104",16928,2656,"4/3/2017","12/25/2009","Entire home/apt",1,1,150,47,9,10,9,"f"
"105",16971,2655,"4/3/2017","12/26/2009","Entire home/apt",1.5,NA,195,35,9,9,9,"f"
"106",16974,2654,"4/2/2017","12/26/2009","Entire home/apt",2,4,225,125,9,8,9,"f"
"107",16990,2677,"4/2/2017","12/3/2009","Private room",1,1,59,5,10,8,9,"f"
"108",17052,2653,"4/2/2017","12/27/2009","Entire home/apt",1,1,125,54,8,9,9,"t"
"109",17092,2653,"4/3/2017","12/28/2009","Private room",1,1,45,11,9,10,9,"f"
"110",17135,2651,"4/2/2017","12/29/2009","Entire home/apt",1,1,75,48,9,10,9,"f"
"111",17226,3063,"4/2/2017","11/12/2008","Entire home/apt",1,2,170,33,8,9,8,"f"
"112",17240,2678,"4/3/2017","12/3/2009","Private room",1,1,69,21,10,8,7,"f"
"113",17297,2648,"4/3/2017","1/2/2010","Entire home/apt",1,3,180,38,7,8,8,"t"
"114",17298,2647,"4/2/2017","1/2/2010","Entire home/apt",1,3,180,23,8,8,9,"t"
"115",17299,2647,"4/2/2017","1/2/2010","Entire home/apt",1,3,180,34,8,8,8,"t"
"116",17454,2984,"4/2/2017","1/30/2009","Entire home/apt",1,1,185,7,9,10,10,"f"
"117",17693,2642,"4/2/2017","1/7/2010","Private room",1,1,59,1,10,10,10,"t"
"118",17747,2642,"4/2/2017","1/7/2010","Private room",1,1,135,53,10,9,9,"f"
"119",18590,2631,"4/2/2017","1/18/2010","Private room",2.5,1,85,100,10,9,10,"f"
"120",18728,2629,"4/2/2017","1/20/2010","Private room",2.5,1,134,116,10,10,10,"f"
"121",18764,2629,"4/2/2017","1/20/2010","Private room",1,1,129,55,9,9,9,"t"
"122",19159,2625,"4/2/2017","1/24/2010","Entire home/apt",1,2,140,47,10,8,9,"f"
"123",19169,2625,"4/2/2017","1/24/2010","Entire home/apt",1,2,285,57,9,10,8,"f"
"124",19319,2733,"4/2/2017","10/8/2009","Private room",1,1,120,77,9,9,10,"f"
"125",19601,2622,"4/2/2017","1/27/2010","Entire home/apt",3.5,3,800,25,9,10,9,"f"
"126",19812,2620,"4/2/2017","1/29/2010","Entire home/apt",1,1,95,50,7,10,9,"f"
"127",20299,2669,"4/3/2017","12/12/2009","Private room",0,1,60,136,8,10,10,"f"
"128",20300,2617,"4/3/2017","2/2/2010","Private room",1,1,50,2,6,10,7,"f"
"129",20611,2629,"4/2/2017","1/20/2010","Private room",1,1,84,134,9,9,9,"t"
"130",20724,2060,"4/2/2017","8/12/2011","Private room",NA,1,60,16,8,9,9,"f"
"131",20734,2611,"4/2/2017","2/7/2010","Entire home/apt",1,1,131,64,10,10,10,"f"
"132",20793,2741,"4/3/2017","10/1/2009","Entire home/apt",1,1,178,286,10,9,9,"f"
"133",20853,2610,"4/2/2017","2/8/2010","Entire home/apt",2.5,2,250,7,10,10,10,"f"
"134",21218,2740,"4/2/2017","10/1/2009","Entire home/apt",1,1,148,360,10,10,9,"f"
"135",21220,2740,"4/2/2017","10/1/2009","Entire home/apt",1,1,248,288,10,10,9,"f"
"136",21293,2734,"4/2/2017","10/7/2009","Entire home/apt",1,1,105,63,9,9,9,"f"
"137",21530,2601,"4/2/2017","2/17/2010","Entire home/apt",1,1,175,123,7,10,8,"t"
"138",21644,2600,"4/2/2017","2/18/2010","Private room",1,1,89,0,NA,NA,NA,"f"
"139",21794,2598,"4/2/2017","2/20/2010","Private room",1,1,125,22,10,10,10,"f"
"140",22250,2593,"4/2/2017","2/25/2010","Entire home/apt",1,1,200,0,NA,NA,NA,"f"
"141",22911,2587,"4/2/2017","3/3/2010","Entire home/apt",1,1,125,134,9,8,9,"t"
"142",23135,2929,"4/2/2017","3/26/2009","Entire home/apt",1,2,175,168,10,9,9,"f"
"143",23265,2713,"4/2/2017","10/28/2009","Entire home/apt",1,1,185,135,8,9,8,"f"
"144",23269,2713,"4/2/2017","10/28/2009","Entire home/apt",1,1,185,44,8,9,7,"f"
"145",23481,2578,"4/2/2017","3/12/2010","Entire home/apt",1,1,140,79,9,9,9,"f"
"146",23501,2665,"4/2/2017","12/15/2009","Private room",NA,1,65,68,10,9,10,"f"
"147",23545,2577,"4/2/2017","3/13/2010","Entire home/apt",2,2,240,168,10,9,9,"f"
"148",23686,2575,"4/2/2017","3/15/2010","Entire home/apt",2,3,499,23,9,10,9,"f"
"149",24143,2568,"4/2/2017","3/22/2010","Private room",2,1,91,246,9,9,9,"t"
"150",24189,1706,"4/2/2017","7/31/2012","Private room",1,1,95,37,8,8,8,"t"
"151",24261,2567,"4/2/2017","3/23/2010","Entire home/apt",1,2,150,23,10,10,10,"f"
"152",24266,2567,"4/2/2017","3/23/2010","Private room",1,1,100,33,10,10,10,"f"
"153",24269,2567,"4/2/2017","3/23/2010","Entire home/apt",2,3,200,43,10,9,10,"f"
"154",24281,2567,"4/2/2017","3/23/2010","Private room",1,1,100,52,10,10,10,"f"
"155",24285,2567,"4/2/2017","3/23/2010","Entire home/apt",3,4,250,57,10,9,10,"f"
"156",24686,2561,"4/2/2017","3/29/2010","Private room",1,1,120,33,10,10,9,"f"
"157",25192,2554,"4/2/2017","4/5/2010","Private room",1,1,150,0,NA,NA,NA,"f"
"158",25235,2587,"4/2/2017","3/3/2010","Entire home/apt",1,2,100,119,9,8,9,"t"
"159",25406,2551,"4/2/2017","4/8/2010","Entire home/apt",1,1,139,25,9,10,9,"f"
"160",25696,2547,"4/2/2017","4/12/2010","Private room",1,1,69,112,9,9,9,"f"
"161",26012,2543,"4/2/2017","4/16/2010","Entire home/apt",1.5,3,200,18,10,9,10,"f"
"162",26362,2677,"4/2/2017","12/3/2009","Private room",0.5,1,59,234,9,10,9,"f"
"163",26520,2707,"4/2/2017","11/3/2009","Private room",1,1,248,11,8,9,9,"f"
"164",26559,2536,"4/2/2017","4/23/2010","Entire home/apt",1,1,140,9,9,10,10,"f"
"165",26785,2742,"4/2/2017","9/29/2009","Entire home/apt",1,1,135,341,10,10,10,"t"
"166",26864,2532,"4/2/2017","4/27/2010","Private room",1,1,90,5,9,10,10,"f"
"167",26933,2629,"4/2/2017","1/20/2010","Private room",2,1,125,6,9,9,10,"f"
"168",26969,2530,"4/2/2017","4/29/2010","Entire home/apt",1.5,3,295,229,9,10,10,"t"
"169",27006,2530,"4/2/2017","4/29/2010","Entire home/apt",1.5,2,235,17,9,10,9,"f"
"170",27024,3111,"4/3/2017","9/26/2008","Entire home/apt",1,1,150,276,8,10,9,"t"
"171",27385,2629,"4/2/2017","1/20/2010","Entire home/apt",1,1,225,70,9,10,9,"f"
"172",27531,2524,"4/2/2017","5/5/2010","Private room",2,1,99,269,10,10,10,"f"
"173",27644,2523,"4/2/2017","5/6/2010","Entire home/apt",1,1,170,117,10,9,9,"f"
"174",27659,2523,"4/2/2017","5/6/2010","Entire home/apt",2.5,4,400,6,10,10,10,"f"
"175",27759,2522,"4/2/2017","5/7/2010","Entire home/apt",1,1,170,9,8,9,9,"t"
"176",27883,2522,"4/2/2017","5/7/2010","Entire home/apt",1,NA,100,25,10,10,9,"f"
"177",28055,2613,"4/2/2017","2/5/2010","Private room",1,1,75,50,9,10,9,"t"
"178",28083,2520,"4/2/2017","5/9/2010","Entire home/apt",1,1,160,35,9,10,9,"f"
"179",28321,2658,"4/2/2017","12/22/2009","Private room",1,1,75,3,NA,NA,NA,"f"
"180",28327,2520,"4/2/2017","5/9/2010","Entire home/apt",1,1,165,54,8,10,9,"f"
"181",28342,2519,"4/2/2017","5/10/2010","Private room",1,1,125,12,10,10,10,"f"
"182",28396,1431,"4/2/2017","5/2/2013","Private room",1,1,90,10,9,10,9,"f"
"183",28907,2516,"4/2/2017","5/13/2010","Entire home/apt",1,1,130,17,10,10,10,"f"
"184",29012,2515,"4/2/2017","5/14/2010","Private room",1,1,85,35,9,8,10,"f"
"185",29013,2768,"4/2/2017","9/3/2009","Private room",NA,1,60,49,9,8,9,"f"
"186",29187,2733,"4/2/2017","10/8/2009","Private room",1,1,70,2,10,10,10,"f"
"187",29455,2512,"4/2/2017","5/17/2010","Entire home/apt",1,1,140,90,9,8,9,"f"
"188",29594,2511,"4/2/2017","5/18/2010","Entire home/apt",1,1,100,19,9,9,9,"f"
"189",29628,2511,"4/2/2017","5/18/2010","Private room",1,1,89,183,10,10,10,"t"
"190",29683,2513,"4/2/2017","5/16/2010","Entire home/apt",1,1,185,46,10,10,9,"f"
"191",30031,2508,"4/2/2017","5/21/2010","Private room",2,1,50,133,9,9,10,"f"
"192",30222,2506,"4/2/2017","5/23/2010","Private room",1,1,105,135,9,10,9,"t"
"193",30589,2504,"4/2/2017","5/25/2010","Private room",1,1,119,82,9,10,9,"f"
"194",30970,2503,"4/2/2017","5/26/2010","Private room",0.5,1,80,153,9,9,8,"f"
"195",31130,2527,"4/2/2017","5/2/2010","Private room",1,1,200,25,NA,NA,NA,"f"
"196",31332,2500,"4/2/2017","5/29/2010","Private room",1.5,1,75,4,9,10,9,"f"
"197",31425,2560,"4/2/2017","3/30/2010","Private room",1,1,159,79,10,10,10,"f"
"198",31555,2498,"4/2/2017","5/31/2010","Entire home/apt",1,0,125,16,8,10,9,"f"
"199",31902,2496,"4/2/2017","6/2/2010","Private room",1,3,77,1,NA,NA,NA,"f"
"200",31994,2495,"4/2/2017","6/3/2010","Private room",1,1,85,331,9,9,9,"t"
"201",32023,2495,"4/2/2017","6/3/2010","Entire home/apt",1,2,125,146,9,9,9,"t"
"202",32037,2528,"4/2/2017","5/1/2010","Private room",1.5,1,125,55,10,9,9,"f"
"203",32100,2494,"4/2/2017","6/4/2010","Entire home/apt",1,3,175,2,10,10,10,"f"
"204",32289,2492,"4/2/2017","6/6/2010","Entire home/apt",1.5,2,190,8,9,10,9,"f"
"205",32329,2491,"4/2/2017","6/7/2010","Entire home/apt",1,1,160,3,10,10,10,"f"
"206",32331,2491,"4/2/2017","6/7/2010","Entire home/apt",1,2,140,4,10,10,10,"f"
"207",32965,2495,"4/2/2017","6/3/2010","Entire home/apt",1,1,115,74,9,9,9,"t"
"208",33009,2486,"4/2/2017","6/12/2010","Private room",1,1,165,176,10,10,10,"f"
"209",33071,2485,"4/2/2017","6/13/2010","Entire home/apt",1,1,99,58,8,10,9,"f"
"210",33156,2509,"4/2/2017","5/20/2010","Entire home/apt",1,0,132,19,10,10,10,"f"
"211",33223,2629,"4/2/2017","1/20/2010","Private room",1,1,78,144,9,10,9,"t"
"212",34760,2476,"4/2/2017","6/22/2010","Private room",2,1,55,0,NA,NA,NA,"f"
"213",34824,2476,"4/2/2017","6/22/2010","Private room",1,1,70,15,9,8,9,"f"
"214",35555,2509,"4/2/2017","5/20/2010","Private room",1,1,117,4,9,10,9,"f"
"215",35950,2470,"4/2/2017","6/28/2010","Entire home/apt",NA,1,160,28,8,10,9,"f"
"216",35963,2470,"4/2/2017","6/28/2010","Entire home/apt",1,1,85,12,8,8,9,"f"
"217",36069,2470,"4/3/2017","6/29/2010","Entire home/apt",1,1,160,11,9,8,9,"f"
"218",36133,2487,"4/2/2017","6/11/2010","Private room",1,1,135,113,9,10,9,"f"
"219",36442,2496,"4/2/2017","6/2/2010","Entire home/apt",1,2,120,2,7,8,7,"f"
"220",36647,2464,"4/2/2017","7/4/2010","Private room",1,1,69,31,10,9,9,"f"
"221",36934,2462,"4/2/2017","7/6/2010","Entire home/apt",1,1,150,21,10,10,8,"f"
"222",37106,2475,"4/2/2017","6/23/2010","Entire home/apt",1,0,100,10,9,8,8,"f"
"223",37197,2461,"4/2/2017","7/7/2010","Entire home/apt",1,2,175,43,9,9,9,"f"
"224",37214,2461,"4/2/2017","7/7/2010","Entire home/apt",1,1,144,10,9,10,10,"f"
"225",38638,2576,"4/2/2017","3/14/2010","Entire home/apt",1,1,219,105,10,10,9,"f"
"226",38663,2456,"4/3/2017","7/13/2010","Entire home/apt",2.5,5,475,18,9,10,9,"f"
"227",38667,2613,"4/2/2017","2/5/2010","Private room",NA,1,57,98,8,9,9,"f"
"228",38780,2501,"4/3/2017","5/29/2010","Private room",1,1,69,38,9,8,9,"f"
"229",38833,2454,"4/2/2017","7/14/2010","Entire home/apt",1,1,119,133,9,9,10,"f"
"230",39267,2452,"4/2/2017","7/16/2010","Entire home/apt",1,1,99,156,8,9,8,"f"
"231",39282,2452,"4/2/2017","7/16/2010","Private room",1,1,49,154,9,10,9,"f"
"232",39572,2452,"4/3/2017","7/17/2010","Private room",NA,1,119,23,9,10,10,"t"
"233",39704,2450,"4/2/2017","7/18/2010","Entire home/apt",1,1,150,252,10,8,9,"f"
"234",40039,2450,"4/2/2017","7/18/2010","Private room",NA,1,250,14,10,10,9,"f"
"235",40248,2450,"4/3/2017","7/19/2010","Entire home/apt",2,3,325,1,10,10,10,"f"
"236",40453,2449,"4/2/2017","7/19/2010","Entire home/apt",1,1,250,4,9,10,10,"f"
"237",41348,2443,"4/2/2017","7/25/2010","Entire home/apt",1.5,2,250,45,9,9,9,"f"
"238",41386,2443,"4/2/2017","7/25/2010","Entire home/apt",1,1,101,8,9,9,9,"t"
"239",41481,2572,"4/2/2017","3/18/2010","Private room",2,1,64,0,NA,NA,NA,"f"
"240",41513,2442,"4/2/2017","7/26/2010","Entire home/apt",1,1,80,2,8,8,8,"f"
"241",41959,2491,"4/2/2017","6/7/2010","Entire home/apt",1,1,137,199,9,9,9,"f"
"242",42300,2439,"4/2/2017","7/29/2010","Entire home/apt",2,2,450,53,9,9,9,"f"
"243",42580,2495,"4/2/2017","6/3/2010","Private room",1,1,70,199,8,9,9,"t"
"244",42729,2929,"4/2/2017","3/26/2009","Entire home/apt",NA,2,165,92,9,9,9,"f"
"245",42744,2580,"4/3/2017","3/11/2010","Entire home/apt",NA,1,899,7,8,10,9,"f"
"246",42882,2438,"4/2/2017","7/30/2010","Private room",1,1,70,140,9,9,9,"f"
"247",43957,2446,"4/2/2017","7/22/2010","Private room",1,1,45,7,10,10,9,"f"
"248",44096,2434,"4/2/2017","8/3/2010","Private room",1,1,50,96,10,9,10,"f"
"249",44212,2629,"4/2/2017","1/20/2010","Private room",1,1,125,45,9,9,9,"f"
"250",44221,2431,"4/2/2017","8/6/2010","Entire home/apt",1,0,225,87,10,10,10,"t"
"251",44229,2442,"4/2/2017","7/26/2010","Private room",1,1,110,149,10,10,9,"f"
"252",44288,2431,"4/2/2017","8/6/2010","Entire home/apt",1,1,150,69,9,10,9,"f"
"253",44472,2450,"4/2/2017","7/18/2010","Entire home/apt",2,2,385,16,10,10,10,"f"
"254",44619,2613,"4/2/2017","2/5/2010","Private room",1,1,62,137,9,10,9,"f"
"255",44698,2428,"4/2/2017","8/9/2010","Private room",1.5,1,34,106,9,9,9,"t"
"256",44973,2426,"4/2/2017","8/11/2010","Entire home/apt",1,0,90,102,9,9,9,"f"
"257",45556,2645,"4/2/2017","1/4/2010","Private room",1,1,80,101,10,10,9,"t"
"258",45689,2421,"4/2/2017","8/16/2010","Entire home/apt",1,2,395,193,9,10,9,"t"
"259",45910,2420,"4/2/2017","8/17/2010","Entire home/apt",2.5,5,350,8,8,9,9,"f"
"260",45936,2078,"4/2/2017","7/25/2011","Private room",1,1,99,91,9,10,9,"f"
"261",45940,2420,"4/2/2017","8/17/2010","Private room",1,1,100,6,10,10,10,"f"
"262",46544,2964,"4/2/2017","2/19/2009","Entire home/apt",1,1,150,44,9,10,9,"f"
"263",46723,2415,"4/2/2017","8/22/2010","Private room",NA,1,90,110,10,8,9,"f"
"264",46859,2677,"4/2/2017","12/3/2009","Private room",NA,1,59,5,8,9,9,"f"
"265",46911,2415,"4/3/2017","8/23/2010","Private room",1,1,120,39,9,10,10,"f"
"266",47199,2412,"4/2/2017","8/25/2010","Private room",1,1,90,127,10,10,9,"f"
"267",47362,2411,"4/2/2017","8/26/2010","Entire home/apt",1,1,1000,30,9,8,9,"f"
"268",47370,2411,"4/2/2017","8/26/2010","Entire home/apt",1,0,125,3,10,10,10,"f"
"269",48620,2404,"4/2/2017","9/2/2010","Private room",1.5,1,93,0,NA,NA,NA,"f"
"270",48719,2404,"4/2/2017","9/2/2010","Entire home/apt",1,1,220,64,9,10,9,"f"
"271",49715,2399,"4/2/2017","9/7/2010","Private room",1,1,95,106,10,9,10,"f"
"272",50447,2945,"4/2/2017","3/10/2009","Entire home/apt",1,1,120,98,9,10,10,"f"
"273",50541,2394,"4/2/2017","9/12/2010","Entire home/apt",1,1,150,21,9,9,9,"f"
"274",50726,2404,"4/2/2017","9/2/2010","Entire home/apt",1,2,165,3,10,8,10,"f"
"275",51485,2390,"4/2/2017","9/16/2010","Private room",1,1,83,188,8,9,9,"f"
"276",51510,2390,"4/2/2017","9/16/2010","Private room",1,1,87,183,9,10,9,"f"
"277",51533,2460,"4/2/2017","7/8/2010","Entire home/apt",1,1,190,2,NA,NA,NA,"f"
"278",51572,2389,"4/2/2017","9/17/2010","Private room",1,1,126,248,8,10,9,"f"
"279",51778,2449,"4/2/2017","7/19/2010","Private room",2,1,40,23,7,8,9,"f"
"280",51850,2806,"4/2/2017","7/27/2009","Private room",1,1,55,49,9,8,9,"t"
"281",51852,2806,"4/2/2017","7/27/2009","Private room",1,1,58,57,10,8,9,"t"
"282",52549,2449,"4/2/2017","7/19/2010","Private room",2,1,40,17,9,8,9,"f"
"283",52757,2382,"4/2/2017","9/24/2010","Private room",1,1,72,28,10,9,9,"f"
"284",53016,2379,"4/2/2017","9/27/2010","Entire home/apt",1,1,225,50,10,9,9,"f"
"285",53137,2386,"4/2/2017","9/20/2010","Entire home/apt",1,1,195,1,NA,NA,NA,"f"
